Gene_Symbol	entrez_ID
TNFRSF17	608
HCN2	610
OPN1SW	611
BCR	613
BCS1L	617
BDH1	622
BDKRB1	623
BDKRB2	624
BDNF	627
CFB	629
BFSP1	631
BGLAP	632
BGN	633
CEACAM1	634
BHMT	635
BICD1	636
BID	637
BIK	638
PRDM1	639
BLK	640
BLM	641
BLMH	642
CXCR5	643
BLVRA	644
BLVRB	645
BNC1	646
BMI1	648
BMP1	649
BMP2	650
BMP3	651
BMP4	652
BMP5	653
BMP6	654
BMP7	655
BMP8B	656
BMPR1A	657
BMPR1B	658
BMPR2	659
BMX	660
POLR3D	661
BNIP1	662
BNIP2	663
BNIP3	664
BNIP3L	665
BOK	666
DST	667
FOXL2	668
BPGM	669
BPHL	670
BPI	671
BRCA1	672
BRAF	673
BRCA2	675
BRDT	676
ZFP36L1	677
ZFP36L2	678
BRS3	680
BSG	682
BST1	683
BST2	684
BTC	685
BTD	686
KLF9	687
KLF5	688
BTF3	689
BTG1	694
BTK	695
BUB1	699
BUB1B	701
BYSL	705
TSPO	706
C1QBP	708
SERPING1	710
C1QA	712
C1QB	713
C1QC	714
C1R	715
C1S	716
C2	717
C3	718
C3AR1	719
C4BPA	722
C4BPB	725
CAPN5	726
C5	727
C5AR1	728
C6	729
C7	730
C8A	731
C8B	732
C8G	733
OSGIN2	734
C9	735
VPS51	738
MRPL49	740
ZNHIT2	741
MPPED2	744
MYRF	745
TMEM258	746
DAGLA	747
FMNL1	752
LDLRAD4	753
PTTG1IP	754
C21orf2	755
TMEM50B	757
MPPED1	758
CA1	759
CA2	760
CA3	761
CA4	762
CA6	765
CA7	766
CA8	767
CA9	768
CA11	770
CA12	771
CACNA1A	773
CACNA1B	774
CACNA1C	775
CACNA1D	776
CACNA1E	777
CACNA1F	778
CACNA1S	779
DDR1	780
CACNA2D1	781
CACNB1	782
CACNB2	783
CACNB3	784
CACNB4	785
CACNG1	786
SLC25A20	788
CAD	790
CALB1	793
CALB2	794
S100G	795
CALCA	796
CALCB	797
CALCR	799
CALD1	800
CALM1	801
CALM2	805
CALM3	808
CALML3	810
CALR	811
CALU	813
CAMK4	814
CAMK2A	815
CAMK2B	816
CAMK2D	817
CAMK2G	818
CAMLG	819
CAMP	820
CANX	821
CAPG	822
CAPN1	823
CAPN2	824
CAPN3	825
CAPNS1	826
CAPN6	827
CAPS	828
CAPZA1	829
CAPZA2	830
CAST	831
CAPZB	832
CARS	833
CASP1	834
CASP2	835
CASP3	836
CASP4	837
CASP5	838
CASP6	839
CASP7	840
CASP8	841
CASP9	842
CASP10	843
CASQ1	844
CASQ2	845
CASR	846
CAT	847
CAV1	857
CAV2	858
CAV3	859
RUNX2	860
RUNX1	861
RUNX1T1	862
CBFA2T3	863
RUNX3	864
CBFB	865
SERPINA6	866
CBL	867
CBLB	868
CBLN1	869
SERPINH1	871
CBR1	873
CBR3	874
CBS	875
CCIN	881
KYAT1	883
CCK	885
CCKAR	886
CCKBR	887
KRIT1	889
CCNA2	890
CCNB1	891
CCNC	892
CCND2	894
CCND3	896
CCNE1	898
CCNF	899
CCNG1	900
CCNG2	901
CCNH	902
CCNT1	904
CCNT2	905
CCT6A	908
CD1A	909
CD1B	910
CD1C	911
CD1D	912
CD1E	913
CD2	914
CD3D	915
CD3E	916
CD3G	917
CD247	919
CD4	920
CD5	921
CD5L	922
CD6	923
CD7	924
CD8A	925
CD8B	926
CD9	928
CD14	929
CD19	930
MS4A1	931
MS4A3	932
CD22	933
CD27	939
CD28	940
CD80	941
CD86	942
TNFRSF8	943
TNFSF8	944
CD33	945
SIGLEC6	946
CD34	947
CD36	948
SCARB1	949
SCARB2	950
CD37	951
CD38	952
ENTPD1	953
ENTPD2	954
ENTPD6	955
ENTPD3	956
ENTPD5	957
CD40	958
CD40LG	959
CD44	960
CD47	961
CD48	962
CD53	963
CD58	965
CD59	966
CD63	967
CD68	968
CD69	969
CD70	970
CD72	971
CD74	972
CD79A	973
CD79B	974
CD81	975
ADGRE5	976
CD151	977
CDA	978
CDK1	983
CDK11B	984
LRBA	987
CDC5L	988
SEPT7	989
CDC6	990
CDC20	991
CDC25A	993
CDC25B	994
CDC25C	995
CDC27	996
CDC34	997
CDC42	998
CDH1	999
CDH2	1000
CDH3	1001
CDH4	1002
CDH5	1003
CDH6	1004
CDH7	1005
CDH8	1006
CDH9	1007
CDH10	1008
CDH11	1009
CDH12	1010
CDH13	1012
CDH15	1013
CDH16	1014
CDH17	1015
CDH18	1016
CDK2	1017
CDK3	1018
CDK4	1019
CDK5	1020
CDK6	1021
CDK7	1022
CDK8	1024
CDK9	1025
CDKN1A	1026
CDKN1B	1027
CDKN1C	1028
CDKN2A	1029
CDKN2B	1030
CDKN2C	1031
CDKN2D	1032
CDKN3	1033
CDO1	1036
CDR1	1038
CDR2	1039
CDS1	1040
CDSN	1041
CD52	1043
CDX1	1044
CDX2	1045
CDX4	1046
CLGN	1047
CEACAM5	1048
CEBPA	1050
CEBPB	1051
CEBPD	1052
CEBPE	1053
CEBPG	1054
CEL	1056
CENPA	1058
CENPB	1059
CENPC	1060
CENPE	1062
CENPF	1063
CES1	1066
CETN1	1068
CETN2	1069
CETN3	1070
CETP	1071
CFL1	1072
CFL2	1073
CTSC	1075
CFTR	1080
