motifHeader	symbol_scRNAseq	origin
HXD13_HUMAN.H11MO.0.D	-	Hocomoco
HXD3_HUMAN.H11MO.0.D	-	Hocomoco
HXD4_HUMAN.H11MO.0.D	-	Hocomoco
HXD8_HUMAN.H11MO.0.D	-	Hocomoco
HXD9_HUMAN.H11MO.0.D	-	Hocomoco
ID4_HUMAN.H11MO.0.D	ID4	Hocomoco
IKZF1_HUMAN.H11MO.0.C	IKZF1	Hocomoco
INSM1_HUMAN.H11MO.0.C	INSM1	Hocomoco
IRF1_HUMAN.H11MO.0.A	IRF1	Hocomoco
IRF2_HUMAN.H11MO.0.A	IRF2	Hocomoco
IRF3_HUMAN.H11MO.0.B	IRF3	Hocomoco
IRF4_HUMAN.H11MO.0.A	IRF4	Hocomoco
IRF5_HUMAN.H11MO.0.D	IRF5	Hocomoco
IRF7_HUMAN.H11MO.0.C	IRF7	Hocomoco
IRF8_HUMAN.H11MO.0.B	IRF8	Hocomoco
IRF9_HUMAN.H11MO.0.C	IRF9	Hocomoco
IRX2_HUMAN.H11MO.0.D	IRX2	Hocomoco
IRX3_HUMAN.H11MO.0.D	IRX3	Hocomoco
ISL1_HUMAN.H11MO.0.A	ISL1	Hocomoco
ISL2_HUMAN.H11MO.0.D	ISL2	Hocomoco
ISX_HUMAN.H11MO.0.D	-	Hocomoco
ITF2_HUMAN.H11MO.0.C	TCF4	Hocomoco
JDP2_HUMAN.H11MO.0.D	JDP2	Hocomoco
JUNB_HUMAN.H11MO.0.A	JUNB	Hocomoco
JUND_HUMAN.H11MO.0.A	JUND	Hocomoco
JUN_HUMAN.H11MO.0.A	JUN	Hocomoco
KAISO_HUMAN.H11MO.0.A	-	Hocomoco
KAISO_HUMAN.H11MO.1.A	-	Hocomoco
KAISO_HUMAN.H11MO.2.A	-	Hocomoco
KLF12_HUMAN.H11MO.0.C	KLF12	Hocomoco
KLF13_HUMAN.H11MO.0.D	KLF13	Hocomoco
KLF14_HUMAN.H11MO.0.D	KLF14	Hocomoco
KLF15_HUMAN.H11MO.0.A	KLF15	Hocomoco
KLF16_HUMAN.H11MO.0.D	KLF16	Hocomoco
KLF1_HUMAN.H11MO.0.A	KLF1	Hocomoco
KLF3_HUMAN.H11MO.0.B	KLF3	Hocomoco
KLF4_HUMAN.H11MO.0.A	KLF4	Hocomoco
KLF5_HUMAN.H11MO.0.A	KLF5	Hocomoco
KLF6_HUMAN.H11MO.0.A	KLF6	Hocomoco
KLF8_HUMAN.H11MO.0.C	KLF8	Hocomoco
KLF9_HUMAN.H11MO.0.C	KLF9	Hocomoco
LBX2_HUMAN.H11MO.0.D	LBX2	Hocomoco
LEF1_HUMAN.H11MO.0.A	LEF1	Hocomoco
LHX2_HUMAN.H11MO.0.A	LHX2	Hocomoco
LHX3_HUMAN.H11MO.0.C	-	Hocomoco
LHX4_HUMAN.H11MO.0.D	LHX4	Hocomoco
LHX6_HUMAN.H11MO.0.D	LHX6	Hocomoco
LHX8_HUMAN.H11MO.0.D	-	Hocomoco
LHX9_HUMAN.H11MO.0.D	-	Hocomoco
LMX1A_HUMAN.H11MO.0.D	-	Hocomoco
LMX1B_HUMAN.H11MO.0.D	LMX1B	Hocomoco
LYL1_HUMAN.H11MO.0.A	LYL1	Hocomoco
MAFA_HUMAN.H11MO.0.D	MAFA	Hocomoco
MAFB_HUMAN.H11MO.0.B	MAFB	Hocomoco
MAFF_HUMAN.H11MO.0.B	MAFF	Hocomoco
MAFF_HUMAN.H11MO.1.B	MAFF	Hocomoco
MAFG_HUMAN.H11MO.0.A	MAFG	Hocomoco
MAFG_HUMAN.H11MO.1.A	MAFG	Hocomoco
MAFK_HUMAN.H11MO.0.A	MAFK	Hocomoco
MAFK_HUMAN.H11MO.1.A	MAFK	Hocomoco
MAF_HUMAN.H11MO.0.A	MAF	Hocomoco
MAF_HUMAN.H11MO.1.B	MAF	Hocomoco
MAX_HUMAN.H11MO.0.A	MAX	Hocomoco
MAZ_HUMAN.H11MO.0.A	MAZ	Hocomoco
MAZ_HUMAN.H11MO.1.A	MAZ	Hocomoco
MBD2_HUMAN.H11MO.0.B	MBD2	Hocomoco
MCR_HUMAN.H11MO.0.D	NR3C2	Hocomoco
MECP2_HUMAN.H11MO.0.C	MECP2	Hocomoco
MEF2A_HUMAN.H11MO.0.A	MEF2A	Hocomoco
MEF2B_HUMAN.H11MO.0.A	-	Hocomoco
MEF2C_HUMAN.H11MO.0.A	MEF2C	Hocomoco
MEF2D_HUMAN.H11MO.0.A	MEF2D	Hocomoco
MEIS1_HUMAN.H11MO.0.A	MEIS1	Hocomoco
MEIS1_HUMAN.H11MO.1.B	MEIS1	Hocomoco
MEIS2_HUMAN.H11MO.0.B	MEIS2	Hocomoco
MEIS3_HUMAN.H11MO.0.D	MEIS3	Hocomoco
MEOX1_HUMAN.H11MO.0.D	MEOX1	Hocomoco
MEOX2_HUMAN.H11MO.0.D	-	Hocomoco
MESP1_HUMAN.H11MO.0.D	MESP1	Hocomoco
MGAP_HUMAN.H11MO.0.D	-	Hocomoco
MITF_HUMAN.H11MO.0.A	MITF	Hocomoco
MIXL1_HUMAN.H11MO.0.D	-	Hocomoco
MLXPL_HUMAN.H11MO.0.D	-	Hocomoco
MLX_HUMAN.H11MO.0.D	MLX	Hocomoco
MNX1_HUMAN.H11MO.0.D	MNX1	Hocomoco
MSX1_HUMAN.H11MO.0.D	MSX1	Hocomoco
MSX2_HUMAN.H11MO.0.D	MSX2	Hocomoco
MTF1_HUMAN.H11MO.0.C	MTF1	Hocomoco
MXI1_HUMAN.H11MO.0.A	MXI1	Hocomoco
MXI1_HUMAN.H11MO.1.A	MXI1	Hocomoco
MYBA_HUMAN.H11MO.0.D	-	Hocomoco
MYBB_HUMAN.H11MO.0.D	-	Hocomoco
MYB_HUMAN.H11MO.0.A	MYB	Hocomoco
MYCN_HUMAN.H11MO.0.A	MYCN	Hocomoco
MYC_HUMAN.H11MO.0.A	MYC	Hocomoco
MYF6_HUMAN.H11MO.0.C	-	Hocomoco
MYNN_HUMAN.H11MO.0.D	MYNN	Hocomoco
MYOD1_HUMAN.H11MO.0.A	-	Hocomoco
MYOD1_HUMAN.H11MO.1.A	-	Hocomoco
MYOG_HUMAN.H11MO.0.B	-	Hocomoco
MZF1_HUMAN.H11MO.0.B	MZF1	Hocomoco
NANOG_HUMAN.H11MO.0.A	NANOG	Hocomoco
NANOG_HUMAN.H11MO.1.B	NANOG	Hocomoco
NDF1_HUMAN.H11MO.0.A	-	Hocomoco
NDF2_HUMAN.H11MO.0.B	-	Hocomoco
NF2L1_HUMAN.H11MO.0.C	-	Hocomoco
NF2L2_HUMAN.H11MO.0.A	-	Hocomoco
NFAC1_HUMAN.H11MO.0.B	-	Hocomoco
NFAC1_HUMAN.H11MO.1.B	-	Hocomoco
NFAC2_HUMAN.H11MO.0.B	-	Hocomoco
NFAC3_HUMAN.H11MO.0.B	-	Hocomoco
NFAC4_HUMAN.H11MO.0.C	-	Hocomoco
NFAT5_HUMAN.H11MO.0.D	NFAT5	Hocomoco
NFE2_HUMAN.H11MO.0.A	NFE2	Hocomoco
NFIA_HUMAN.H11MO.0.C	NFIA	Hocomoco
NFIA_HUMAN.H11MO.1.D	NFIA	Hocomoco
NFIB_HUMAN.H11MO.0.D	NFIB	Hocomoco
NFIC_HUMAN.H11MO.0.A	NFIC	Hocomoco
NFIC_HUMAN.H11MO.1.A	NFIC	Hocomoco
NFIL3_HUMAN.H11MO.0.D	NFIL3	Hocomoco
NFKB1_HUMAN.H11MO.0.A	NFKB1	Hocomoco
NFKB2_HUMAN.H11MO.0.B	NFKB2	Hocomoco
NFYA_HUMAN.H11MO.0.A	NFYA	Hocomoco
NFYB_HUMAN.H11MO.0.A	NFYB	Hocomoco
NFYC_HUMAN.H11MO.0.A	NFYC	Hocomoco
NGN2_HUMAN.H11MO.0.D	-	Hocomoco
NKX21_HUMAN.H11MO.0.A	-	Hocomoco
NKX22_HUMAN.H11MO.0.D	-	Hocomoco
NKX23_HUMAN.H11MO.0.D	-	Hocomoco
NKX25_HUMAN.H11MO.0.B	-	Hocomoco
NKX28_HUMAN.H11MO.0.C	-	Hocomoco
NKX31_HUMAN.H11MO.0.C	-	Hocomoco
NKX32_HUMAN.H11MO.0.C	-	Hocomoco
NKX61_HUMAN.H11MO.0.B	-	Hocomoco
NKX61_HUMAN.H11MO.1.B	-	Hocomoco
NKX62_HUMAN.H11MO.0.D	-	Hocomoco
NOBOX_HUMAN.H11MO.0.C	-	Hocomoco
NOTO_HUMAN.H11MO.0.D	-	Hocomoco
NR0B1_HUMAN.H11MO.0.D	NR0B1	Hocomoco
NR1D1_HUMAN.H11MO.0.B	NR1D1	Hocomoco
NR1D1_HUMAN.H11MO.1.D	NR1D1	Hocomoco
NR1H2_HUMAN.H11MO.0.D	NR1H2	Hocomoco
NR1H3_HUMAN.H11MO.0.B	NR1H3	Hocomoco
NR1H3_HUMAN.H11MO.1.B	NR1H3	Hocomoco
NR1H4_HUMAN.H11MO.0.B	-	Hocomoco
NR1H4_HUMAN.H11MO.1.B	-	Hocomoco
NR1I2_HUMAN.H11MO.0.C	-	Hocomoco
NR1I2_HUMAN.H11MO.1.D	-	Hocomoco
NR1I3_HUMAN.H11MO.0.C	NR1I3	Hocomoco
NR1I3_HUMAN.H11MO.1.D	NR1I3	Hocomoco
NR2C1_HUMAN.H11MO.0.C	NR2C1	Hocomoco
NR2C2_HUMAN.H11MO.0.B	NR2C2	Hocomoco
NR2E1_HUMAN.H11MO.0.D	-	Hocomoco
NR2E3_HUMAN.H11MO.0.C	-	Hocomoco
NR2F6_HUMAN.H11MO.0.D	NR2F6	Hocomoco
NR4A1_HUMAN.H11MO.0.A	NR4A1	Hocomoco
NR4A2_HUMAN.H11MO.0.C	NR4A2	Hocomoco
NR4A3_HUMAN.H11MO.0.D	NR4A3	Hocomoco
NR5A2_HUMAN.H11MO.0.B	NR5A2	Hocomoco
NR6A1_HUMAN.H11MO.0.B	NR6A1	Hocomoco
NRF1_HUMAN.H11MO.0.A	NRF1	Hocomoco
NRL_HUMAN.H11MO.0.D	NRL	Hocomoco
OLIG1_HUMAN.H11MO.0.D	-	Hocomoco
OLIG2_HUMAN.H11MO.0.B	-	Hocomoco
OLIG2_HUMAN.H11MO.1.B	-	Hocomoco
OLIG3_HUMAN.H11MO.0.D	-	Hocomoco
ONEC2_HUMAN.H11MO.0.D	-	Hocomoco
ONEC3_HUMAN.H11MO.0.D	-	Hocomoco
OSR2_HUMAN.H11MO.0.C	OSR2	Hocomoco
OTX1_HUMAN.H11MO.0.D	OTX1	Hocomoco
OTX2_HUMAN.H11MO.0.A	-	Hocomoco
OVOL1_HUMAN.H11MO.0.C	OVOL1	Hocomoco
OVOL2_HUMAN.H11MO.0.D	OVOL2	Hocomoco
OZF_HUMAN.H11MO.0.C	ZNF146	Hocomoco
P53_HUMAN.H11MO.0.A	TP53	Hocomoco
P53_HUMAN.H11MO.1.A	TP53	Hocomoco
P5F1B_HUMAN.H11MO.0.D	-	Hocomoco
P63_HUMAN.H11MO.0.A	-	Hocomoco
P63_HUMAN.H11MO.1.A	-	Hocomoco
P73_HUMAN.H11MO.0.A	TP73	Hocomoco
P73_HUMAN.H11MO.1.A	TP73	Hocomoco
PATZ1_HUMAN.H11MO.0.C	PATZ1	Hocomoco
PATZ1_HUMAN.H11MO.1.C	PATZ1	Hocomoco
PAX1_HUMAN.H11MO.0.D	-	Hocomoco
PAX2_HUMAN.H11MO.0.D	-	Hocomoco
PAX3_HUMAN.H11MO.0.D	PAX3	Hocomoco
PAX4_HUMAN.H11MO.0.D	-	Hocomoco
PAX5_HUMAN.H11MO.0.A	-	Hocomoco
PAX6_HUMAN.H11MO.0.C	PAX6	Hocomoco
PAX7_HUMAN.H11MO.0.D	-	Hocomoco
PAX8_HUMAN.H11MO.0.D	PAX8	Hocomoco
PBX1_HUMAN.H11MO.0.A	PBX1	Hocomoco
PBX1_HUMAN.H11MO.1.C	PBX1	Hocomoco
PBX2_HUMAN.H11MO.0.C	PBX2	Hocomoco
PBX3_HUMAN.H11MO.0.A	PBX3	Hocomoco
PBX3_HUMAN.H11MO.1.A	PBX3	Hocomoco
PDX1_HUMAN.H11MO.0.A	-	Hocomoco
PDX1_HUMAN.H11MO.1.A	-	Hocomoco
PEBB_HUMAN.H11MO.0.C	-	Hocomoco
PHX2A_HUMAN.H11MO.0.D	-	Hocomoco
PHX2B_HUMAN.H11MO.0.D	-	Hocomoco
PIT1_HUMAN.H11MO.0.C	-	Hocomoco
PITX1_HUMAN.H11MO.0.D	PITX1	Hocomoco
PITX2_HUMAN.H11MO.0.D	PITX2	Hocomoco
PITX3_HUMAN.H11MO.0.D	PITX3	Hocomoco
PKNX1_HUMAN.H11MO.0.B	-	Hocomoco
PLAG1_HUMAN.H11MO.0.D	PLAG1	Hocomoco
PLAL1_HUMAN.H11MO.0.D	-	Hocomoco
PO2F1_HUMAN.H11MO.0.C	-	Hocomoco
PO2F2_HUMAN.H11MO.0.A	-	Hocomoco
PO2F3_HUMAN.H11MO.0.D	-	Hocomoco
PO3F1_HUMAN.H11MO.0.C	-	Hocomoco
PO3F2_HUMAN.H11MO.0.A	-	Hocomoco
PO3F3_HUMAN.H11MO.0.D	-	Hocomoco
PO3F4_HUMAN.H11MO.0.D	-	Hocomoco
PO4F1_HUMAN.H11MO.0.D	-	Hocomoco
PO4F2_HUMAN.H11MO.0.D	-	Hocomoco
PO4F3_HUMAN.H11MO.0.D	-	Hocomoco
PO5F1_HUMAN.H11MO.0.A	-	Hocomoco
PO5F1_HUMAN.H11MO.1.A	-	Hocomoco
PO6F1_HUMAN.H11MO.0.D	-	Hocomoco
PO6F2_HUMAN.H11MO.0.D	-	Hocomoco
PPARA_HUMAN.H11MO.0.B	PPARA	Hocomoco
PPARA_HUMAN.H11MO.1.B	PPARA	Hocomoco
PPARD_HUMAN.H11MO.0.D	PPARD	Hocomoco
PPARG_HUMAN.H11MO.0.A	PPARG	Hocomoco
PPARG_HUMAN.H11MO.1.A	PPARG	Hocomoco
PRD14_HUMAN.H11MO.0.A	-	Hocomoco
PRDM1_HUMAN.H11MO.0.A	PRDM1	Hocomoco
PRDM4_HUMAN.H11MO.0.D	PRDM4	Hocomoco
PRDM6_HUMAN.H11MO.0.C	PRDM6	Hocomoco
PRGR_HUMAN.H11MO.0.A	-	Hocomoco
PRGR_HUMAN.H11MO.1.A	-	Hocomoco
PROP1_HUMAN.H11MO.0.D	-	Hocomoco
PROX1_HUMAN.H11MO.0.D	PROX1	Hocomoco
PRRX1_HUMAN.H11MO.0.D	PRRX1	Hocomoco
PRRX2_HUMAN.H11MO.0.C	PRRX2	Hocomoco
PTF1A_HUMAN.H11MO.0.B	-	Hocomoco
PTF1A_HUMAN.H11MO.1.B	-	Hocomoco
PURA_HUMAN.H11MO.0.D	PURA	Hocomoco
RARA_HUMAN.H11MO.0.A	RARA	Hocomoco
RARA_HUMAN.H11MO.1.A	RARA	Hocomoco
RARA_HUMAN.H11MO.2.A	RARA	Hocomoco
RARB_HUMAN.H11MO.0.D	RARB	Hocomoco
RARG_HUMAN.H11MO.0.B	RARG	Hocomoco
RARG_HUMAN.H11MO.1.B	RARG	Hocomoco
RARG_HUMAN.H11MO.2.D	RARG	Hocomoco
RAX2_HUMAN.H11MO.0.D	-	Hocomoco
RELB_HUMAN.H11MO.0.C	RELB	Hocomoco
REL_HUMAN.H11MO.0.B	REL	Hocomoco
REST_HUMAN.H11MO.0.A	REST	Hocomoco
RFX1_HUMAN.H11MO.0.B	RFX1	Hocomoco
RFX1_HUMAN.H11MO.1.B	RFX1	Hocomoco
RFX2_HUMAN.H11MO.0.A	RFX2	Hocomoco
RFX2_HUMAN.H11MO.1.A	RFX2	Hocomoco
RFX3_HUMAN.H11MO.0.B	RFX3	Hocomoco
RFX4_HUMAN.H11MO.0.D	-	Hocomoco
RFX5_HUMAN.H11MO.0.A	RFX5	Hocomoco
RFX5_HUMAN.H11MO.1.A	RFX5	Hocomoco
RHXF1_HUMAN.H11MO.0.D	-	Hocomoco
RORA_HUMAN.H11MO.0.C	RORA	Hocomoco
RORG_HUMAN.H11MO.0.C	RORC	Hocomoco
RREB1_HUMAN.H11MO.0.D	RREB1	Hocomoco
RUNX1_HUMAN.H11MO.0.A	RUNX1	Hocomoco
RUNX2_HUMAN.H11MO.0.A	RUNX2	Hocomoco
RUNX3_HUMAN.H11MO.0.A	RUNX3	Hocomoco
RXRA_HUMAN.H11MO.0.A	RXRA	Hocomoco
RXRA_HUMAN.H11MO.1.A	RXRA	Hocomoco
RXRB_HUMAN.H11MO.0.C	RXRB	Hocomoco
RXRG_HUMAN.H11MO.0.B	RXRG	Hocomoco
RX_HUMAN.H11MO.0.D	-	Hocomoco
SALL4_HUMAN.H11MO.0.B	SALL4	Hocomoco
SCRT1_HUMAN.H11MO.0.D	-	Hocomoco
SCRT2_HUMAN.H11MO.0.D	-	Hocomoco
SHOX2_HUMAN.H11MO.0.D	SHOX2	Hocomoco
SHOX_HUMAN.H11MO.0.D	-	Hocomoco
SIX1_HUMAN.H11MO.0.A	-	Hocomoco
SIX2_HUMAN.H11MO.0.A	SIX2	Hocomoco
SMAD1_HUMAN.H11MO.0.D	SMAD1	Hocomoco
SMAD2_HUMAN.H11MO.0.A	SMAD2	Hocomoco
SMAD3_HUMAN.H11MO.0.B	SMAD3	Hocomoco
SMAD4_HUMAN.H11MO.0.B	SMAD4	Hocomoco
SMCA1_HUMAN.H11MO.0.C	-	Hocomoco
SMCA5_HUMAN.H11MO.0.C	-	Hocomoco
SNAI1_HUMAN.H11MO.0.C	SNAI1	Hocomoco
SNAI2_HUMAN.H11MO.0.A	SNAI2	Hocomoco
SOX10_HUMAN.H11MO.0.B	SOX10	Hocomoco
SOX10_HUMAN.H11MO.1.A	SOX10	Hocomoco
SOX11_HUMAN.H11MO.0.D	SOX11	Hocomoco
SOX13_HUMAN.H11MO.0.D	SOX13	Hocomoco
SOX15_HUMAN.H11MO.0.D	SOX15	Hocomoco
SOX17_HUMAN.H11MO.0.C	-	Hocomoco
SOX18_HUMAN.H11MO.0.D	SOX18	Hocomoco
SOX1_HUMAN.H11MO.0.D	SOX1	Hocomoco
SOX21_HUMAN.H11MO.0.D	SOX21	Hocomoco
SOX2_HUMAN.H11MO.0.A	SOX2	Hocomoco
SOX2_HUMAN.H11MO.1.A	SOX2	Hocomoco
SOX3_HUMAN.H11MO.0.B	-	Hocomoco
SOX4_HUMAN.H11MO.0.B	SOX4	Hocomoco
SOX5_HUMAN.H11MO.0.C	SOX5	Hocomoco
SOX7_HUMAN.H11MO.0.D	SOX7	Hocomoco
SOX8_HUMAN.H11MO.0.D	SOX8	Hocomoco
SOX9_HUMAN.H11MO.0.B	SOX9	Hocomoco
SOX9_HUMAN.H11MO.1.B	SOX9	Hocomoco
SP1_HUMAN.H11MO.0.A	SP1	Hocomoco
SP1_HUMAN.H11MO.1.A	SP1	Hocomoco
SP2_HUMAN.H11MO.0.A	SP2	Hocomoco
SP2_HUMAN.H11MO.1.B	SP2	Hocomoco
SP3_HUMAN.H11MO.0.B	SP3	Hocomoco
SP4_HUMAN.H11MO.0.A	SP4	Hocomoco
SP4_HUMAN.H11MO.1.A	SP4	Hocomoco
SPDEF_HUMAN.H11MO.0.D	SPDEF	Hocomoco
SPI1_HUMAN.H11MO.0.A	SPI1	Hocomoco
SPIB_HUMAN.H11MO.0.A	SPIB	Hocomoco
SPIC_HUMAN.H11MO.0.D	-	Hocomoco
SPZ1_HUMAN.H11MO.0.D	-	Hocomoco
SRBP1_HUMAN.H11MO.0.A	-	Hocomoco
SRBP2_HUMAN.H11MO.0.B	-	Hocomoco
SRF_HUMAN.H11MO.0.A	SRF	Hocomoco
SRY_HUMAN.H11MO.0.B	SRY	Hocomoco
STA5A_HUMAN.H11MO.0.A	-	Hocomoco
STA5B_HUMAN.H11MO.0.A	-	Hocomoco
STAT1_HUMAN.H11MO.0.A	STAT1	Hocomoco
STAT1_HUMAN.H11MO.1.A	STAT1	Hocomoco
STAT2_HUMAN.H11MO.0.A	STAT2	Hocomoco
STAT3_HUMAN.H11MO.0.A	STAT3	Hocomoco
STAT4_HUMAN.H11MO.0.A	STAT4	Hocomoco
STAT6_HUMAN.H11MO.0.B	STAT6	Hocomoco
STF1_HUMAN.H11MO.0.B	-	Hocomoco
SUH_HUMAN.H11MO.0.A	RBPJ	Hocomoco
TAF1_HUMAN.H11MO.0.A	-	Hocomoco
TAL1_HUMAN.H11MO.0.A	-	Hocomoco
TAL1_HUMAN.H11MO.1.A	-	Hocomoco
TBP_HUMAN.H11MO.0.A	TBP	Hocomoco
TBR1_HUMAN.H11MO.0.D	-	Hocomoco
TBX15_HUMAN.H11MO.0.D	-	Hocomoco
TBX19_HUMAN.H11MO.0.D	TBX19	Hocomoco
TBX1_HUMAN.H11MO.0.D	TBX1	Hocomoco
TBX20_HUMAN.H11MO.0.D	-	Hocomoco
TBX21_HUMAN.H11MO.0.A	-	Hocomoco
TBX2_HUMAN.H11MO.0.D	TBX2	Hocomoco
TBX3_HUMAN.H11MO.0.C	TBX3	Hocomoco
TBX4_HUMAN.H11MO.0.D	-	Hocomoco
TBX5_HUMAN.H11MO.0.D	-	Hocomoco
TCF7_HUMAN.H11MO.0.A	TCF7	Hocomoco
TEAD1_HUMAN.H11MO.0.A	TEAD1	Hocomoco
TEAD2_HUMAN.H11MO.0.D	TEAD2	Hocomoco
TEAD3_HUMAN.H11MO.0.D	TEAD3	Hocomoco
TEAD4_HUMAN.H11MO.0.A	TEAD4	Hocomoco
TEF_HUMAN.H11MO.0.D	TEF	Hocomoco
TF2LX_HUMAN.H11MO.0.D	-	Hocomoco
TF65_HUMAN.H11MO.0.A	-	Hocomoco
TF7L1_HUMAN.H11MO.0.B	-	Hocomoco
TF7L2_HUMAN.H11MO.0.A	-	Hocomoco
TFAP4_HUMAN.H11MO.0.A	TFAP4	Hocomoco
TFCP2_HUMAN.H11MO.0.D	TFCP2	Hocomoco
TFDP1_HUMAN.H11MO.0.C	TFDP1	Hocomoco
TFE2_HUMAN.H11MO.0.A	-	Hocomoco
TFE3_HUMAN.H11MO.0.B	TFE3	Hocomoco
TFEB_HUMAN.H11MO.0.C	TFEB	Hocomoco
TGIF1_HUMAN.H11MO.0.A	TGIF1	Hocomoco
TGIF2_HUMAN.H11MO.0.D	TGIF2	Hocomoco
THA11_HUMAN.H11MO.0.B	-	Hocomoco
THAP1_HUMAN.H11MO.0.C	THAP1	Hocomoco
THA_HUMAN.H11MO.0.C	-	Hocomoco
THA_HUMAN.H11MO.1.D	-	Hocomoco
THB_HUMAN.H11MO.0.C	-	Hocomoco
THB_HUMAN.H11MO.1.D	-	Hocomoco
TLX1_HUMAN.H11MO.0.D	-	Hocomoco
TWST1_HUMAN.H11MO.0.A	-	Hocomoco
TWST1_HUMAN.H11MO.1.A	-	Hocomoco
TYY1_HUMAN.H11MO.0.A	-	Hocomoco
TYY2_HUMAN.H11MO.0.D	-	Hocomoco
UBIP1_HUMAN.H11MO.0.D	-	Hocomoco
UNC4_HUMAN.H11MO.0.D	-	Hocomoco
USF1_HUMAN.H11MO.0.A	USF1	Hocomoco
USF2_HUMAN.H11MO.0.A	USF2	Hocomoco
VAX1_HUMAN.H11MO.0.D	-	Hocomoco
VAX2_HUMAN.H11MO.0.D	VAX2	Hocomoco
VDR_HUMAN.H11MO.0.A	VDR	Hocomoco
VDR_HUMAN.H11MO.1.A	VDR	Hocomoco
VENTX_HUMAN.H11MO.0.D	-	Hocomoco
VEZF1_HUMAN.H11MO.0.C	VEZF1	Hocomoco
VEZF1_HUMAN.H11MO.1.C	VEZF1	Hocomoco
VSX1_HUMAN.H11MO.0.D	-	Hocomoco
VSX2_HUMAN.H11MO.0.D	-	Hocomoco
WT1_HUMAN.H11MO.0.C	-	Hocomoco
WT1_HUMAN.H11MO.1.B	-	Hocomoco
XBP1_HUMAN.H11MO.0.D	XBP1	Hocomoco
Z324A_HUMAN.H11MO.0.C	-	Hocomoco
Z354A_HUMAN.H11MO.0.C	-	Hocomoco
ZBED1_HUMAN.H11MO.0.D	ZBED1	Hocomoco
ZBT14_HUMAN.H11MO.0.C	-	Hocomoco
ZBT17_HUMAN.H11MO.0.A	-	Hocomoco
ZBT18_HUMAN.H11MO.0.C	-	Hocomoco
ZBT48_HUMAN.H11MO.0.C	-	Hocomoco
ZBT49_HUMAN.H11MO.0.D	-	Hocomoco
ZBT7A_HUMAN.H11MO.0.A	-	Hocomoco
ZBT7B_HUMAN.H11MO.0.D	-	Hocomoco
ZBTB4_HUMAN.H11MO.0.D	ZBTB4	Hocomoco
ZBTB4_HUMAN.H11MO.1.D	ZBTB4	Hocomoco
ZBTB6_HUMAN.H11MO.0.C	ZBTB6	Hocomoco
ZEB1_HUMAN.H11MO.0.A	ZEB1	Hocomoco
ZEP1_HUMAN.H11MO.0.D	-	Hocomoco
ZEP2_HUMAN.H11MO.0.D	-	Hocomoco
ZF64A_HUMAN.H11MO.0.D	-	Hocomoco
ZFHX3_HUMAN.H11MO.0.D	ZFHX3	Hocomoco
ZFP28_HUMAN.H11MO.0.C	ZFP28	Hocomoco
ZFP42_HUMAN.H11MO.0.A	ZFP42	Hocomoco
ZFP82_HUMAN.H11MO.0.C	ZFP82	Hocomoco
ZFX_HUMAN.H11MO.0.A	ZFX	Hocomoco
ZFX_HUMAN.H11MO.1.A	ZFX	Hocomoco
ZIC1_HUMAN.H11MO.0.B	-	Hocomoco
ZIC2_HUMAN.H11MO.0.D	ZIC2	Hocomoco
ZIC3_HUMAN.H11MO.0.B	-	Hocomoco
ZIC4_HUMAN.H11MO.0.D	-	Hocomoco
ZIM3_HUMAN.H11MO.0.C	-	Hocomoco
ZKSC1_HUMAN.H11MO.0.B	-	Hocomoco
ZKSC3_HUMAN.H11MO.0.D	-	Hocomoco
ZN121_HUMAN.H11MO.0.C	-	Hocomoco
ZN134_HUMAN.H11MO.0.C	-	Hocomoco
ZN134_HUMAN.H11MO.1.C	-	Hocomoco
ZN136_HUMAN.H11MO.0.C	-	Hocomoco
ZN140_HUMAN.H11MO.0.C	-	Hocomoco
ZN143_HUMAN.H11MO.0.A	-	Hocomoco
ZN148_HUMAN.H11MO.0.D	-	Hocomoco
ZN214_HUMAN.H11MO.0.C	-	Hocomoco
ZN219_HUMAN.H11MO.0.D	-	Hocomoco
ZN232_HUMAN.H11MO.0.D	-	Hocomoco
ZN250_HUMAN.H11MO.0.C	-	Hocomoco
ZN257_HUMAN.H11MO.0.C	-	Hocomoco
ZN260_HUMAN.H11MO.0.C	-	Hocomoco
ZN263_HUMAN.H11MO.0.A	-	Hocomoco
ZN263_HUMAN.H11MO.1.A	-	Hocomoco
ZN264_HUMAN.H11MO.0.C	-	Hocomoco
ZN274_HUMAN.H11MO.0.A	-	Hocomoco
ZN281_HUMAN.H11MO.0.A	-	Hocomoco
ZN282_HUMAN.H11MO.0.D	-	Hocomoco
ZN317_HUMAN.H11MO.0.C	-	Hocomoco
ZN320_HUMAN.H11MO.0.C	-	Hocomoco
ZN322_HUMAN.H11MO.0.B	-	Hocomoco
ZN329_HUMAN.H11MO.0.C	-	Hocomoco
ZN331_HUMAN.H11MO.0.C	-	Hocomoco
ZN333_HUMAN.H11MO.0.D	-	Hocomoco
ZN335_HUMAN.H11MO.0.A	-	Hocomoco
ZN335_HUMAN.H11MO.1.A	-	Hocomoco
ZN341_HUMAN.H11MO.0.C	-	Hocomoco
ZN341_HUMAN.H11MO.1.C	-	Hocomoco
ZN350_HUMAN.H11MO.0.C	-	Hocomoco
ZN350_HUMAN.H11MO.1.D	-	Hocomoco
ZN382_HUMAN.H11MO.0.C	-	Hocomoco
