,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT1,1.72949328186932,11.0678415532686,98.8165813851831,0.0,0.0,4027.25425873394
KRT10,1.66813902732816,11.5202880128294,99.1217531787406,0.0,0.0,4048.11464795295
FABP5,1.44193427636356,9.87239850598036,62.2273929974848,0.0,0.0,1773.58897408028
DMKN,1.43269224878682,10.7514657916319,92.8954999209396,0.0,0.0,3629.44291619249
LY6D,1.4122313825292,10.5467236417344,78.0655513026866,0.0,0.0,2678.75058768635
CXCL14,-1.32005517474775,10.2604292577589,-68.0176649033907,0.0,0.0,2089.26895991562
KRT13,1.12799971954157,8.04883167805771,45.2970895170712,0.0,0.0,971.836828933675
KRT15,-1.12093704800724,10.6773065651216,-53.1917977877241,0.0,0.0,1321.48930262597
MT1X,1.01075215452705,8.36935384852272,49.5791573642198,0.0,0.0,1155.9230715849
CCND1,0.924668613371156,8.107372722569,58.2478431430339,0.0,0.0,1568.7179747427
KRT6A,0.881645850908417,7.70672966819333,50.2657445763595,0.0,0.0,1186.68235969085
DST,-0.877716758938664,9.48425653061682,-51.0954603767384,0.0,0.0,1224.36986414509
CCL2,-0.814782245925268,7.72853797068524,-41.9147050439407,0.0,0.0,836.208129695687
COL17A1,-0.796020932492708,8.37326923467203,-56.3341565862203,0.0,0.0,1473.79151129958
RHOV,0.781014569314784,7.77069602717739,60.2555801057844,0.0,0.0,1671.85206099086
DSP,0.758923640498842,10.6846697961096,57.5157965865689,0.0,0.0,1532.43943993122
POSTN,-0.757088371207564,7.79530760466414,-49.9192187203367,0.0,0.0,1171.47719911316
S100A14,0.71497579455766,10.3035644786899,51.7557142295612,0.0,0.0,1255.33353767759
CRABP2,0.67115094060198,7.91052705999204,41.6843480827044,0.0,0.0,827.354373026132
APOE,0.644266350433349,7.69900527870945,39.3385236254524,0.0,0.0,738.93745911142
TXNIP,-0.573664217082632,8.77416459291637,-31.8244607069301,2.57237981373869e-217,3.8681413664266e-215,486.455150472839
KRT16,0.573292138050174,7.33538938148588,38.6625276499281,2.116163e-316,5.949178249e-314,714.295675269187
CYR61,-0.561603438907301,8.54358687750957,-27.5421411484133,3.41216585115471e-164,3.39431759901021e-162,364.340995527238
AREG,-0.559991395813932,7.6026930178547,-32.5869766935452,1.65215994686653e-227,2.81128058327341e-225,509.888292338029
EMP2,0.549880387331394,8.38224421484688,37.0912064044281,3.23068924039857e-292,7.20332297531627e-290,658.680107408536
DSG1,0.542245763409796,8.39045315477662,35.440036815136,1.19200232565818e-267,2.56916234590192e-265,602.186976761169
ITGB1,-0.515505023581648,7.93333879543539,-37.4234736904115,2.79416981866856e-297,6.45253644553962e-295,670.323296215168
KRT5,0.499267725977227,10.8890439377144,24.7539572765926,1.90657449274223e-133,1.33999029022514e-131,293.684347192322
DSC3,0.499100271048439,9.15958666599808,34.9746709394623,6.61293436385919e-261,1.29573435141556e-258,586.679191346372
DCN,-0.477514841443744,8.47646080964937,-27.2615010399293,5.8250365080101e-161,5.70677061527171e-159,356.912319120772
S100A16,0.454411028319063,9.08584712586926,32.229686478137,9.27901186547794e-223,1.46336806639464e-220,498.968379112407
PHLDA2,0.450778613872499,7.85301635034199,24.7259801083087,3.74252167149676e-133,2.60205861590301e-131,293.011355284358
SPARC,-0.449448342520633,7.39105247505712,-39.2897920633216,0.0,0.0,737.412617864727
HES1,0.446473549737918,8.68059304184032,19.9802489660347,4.97187385373498e-88,1.90225658806215e-86,189.374134339588
CAV1,-0.437280358761952,8.3474552777745,-28.0595502425948,2.88020378700588e-170,3.05301601422623e-168,378.300140354184
IL1R2,-0.428171656872248,7.54545772605469,-31.591297631658,2.71804817927315e-214,3.82063033199569e-212,479.502753801221
AQP3,0.424880230531258,10.2945663723769,31.2323497839161,1.33976932997644e-209,1.84318052928248e-207,468.714089880414
ATP1B3,-0.423467857892657,9.32987324446345,-30.6205255529629,1.02983921611841e-201,1.35896742273911e-199,450.585374852782
LGALS7B,0.421839008170742,8.59775098410089,26.5081928581277,1.85275196823762e-152,1.73621655458326e-150,337.371906853952
PKP1,0.419153523100389,7.65287830916168,31.6067626817011,1.70205134161078e-214,2.44565866107896e-212,479.970109378971
GSTP1,0.419144601246451,9.95312660952116,32.3334621018502,3.77230699968362e-224,6.09793426498858e-222,502.166206739319
VSNL1,0.415158251819204,7.51334601856151,31.6422008812699,5.81840145816561e-215,8.55040541556791e-213,481.041843898396
LYPD3,0.4043687438569,8.29959011526737,25.84511250831,3.89485489772955e-145,3.40326104982693e-143,320.544441606458
CTNNAL1,-0.403660035014115,7.26261405832932,-38.0647313071572,3.65367196713518e-307,9.44985717579842e-305,693.052265359059
CLEC2B,0.39668880801172,8.20236166260821,23.8545542396234,3.44190028970811e-124,2.2709517625768e-122,272.417693160024
IFITM3,-0.396484595476326,8.09459601317447,-25.9174408113018,6.31234791095237e-146,5.5911837797559e-144,322.360488033099
TACSTD2,0.391612452782751,9.85530883965911,21.2015116871761,9.06939680290291e-99,4.07241109219238e-97,214.030353323892
PDLIM1,-0.390974935754924,8.32132646155372,-26.1829549512825,7.60809529936199e-149,6.92872453601051e-147,329.06804594477
IGFBP5,-0.3834563863589,7.86042497005406,-20.7576449485983,8.53407682622196e-95,3.56008650053878e-93,204.906379696458
TIMP1,-0.38156103340039,7.33578634650808,-32.9779842969742,7.03691603678295e-233,1.2297486241578e-230,522.236126264052
CITED2,-0.372585266509543,8.2663117682743,-20.5804889622749,3.12325259424632e-93,1.26218445464979e-91,201.316688348204
ALDH2,0.367906987850728,8.01085976747001,25.6884346202766,1.97393644565774e-143,1.63634269969525e-141,316.62690369299
CLDN4,0.359292257675596,7.66946381898908,20.4535966196515,4.04220652879487e-92,1.6034912524655e-90,198.763591895587
ID1,0.358415188631401,8.40800897343054,17.4642007467923,7.73174563075758e-68,2.09177687232128e-66,143.037294554752
TUBA1B,-0.357714236074018,9.01247822106716,-20.0602976808281,1.02577075898413e-88,3.99556248650082e-87,190.947733777799
DSC2,0.357662372651897,7.3847680902848,28.4187767350389,1.59050547714943e-174,1.7140347358747e-172,388.086712773763
JUP,0.354930427197011,7.94935279860517,25.0912314682773,5.06092270292341e-137,3.7186279769435e-135,301.900621178179
IL18,-0.348020900957762,7.85857567683544,-23.7594334977665,3.04823365787926e-123,1.97098788318473e-121,270.24142252155
CLSTN1,-0.34192693953553,7.72800896818309,-25.1571968442436,1.00760218380106e-137,7.48868473615821e-136,303.511181745962
LIMA1,-0.341155935236041,8.38918286906072,-22.732633373411,4.18830583623468e-113,2.37557767869241e-111,246.953330967711
SGK1,-0.340247073915411,7.81699932747642,-20.827581988556,2.04168659524225e-95,8.80103034989092e-94,206.332616410884
EMP1,0.340102225915014,9.27571137489119,22.2291984731862,2.73597401032457e-108,1.43827706916737e-106,235.893961899853
DAAM1,-0.339033673908977,7.94492006130241,-21.1571878252699,2.26674297173867e-98,1.01081103829395e-96,213.116810515927
DYNLL1,0.335988827426208,9.59060367748246,25.0592591433992,1.10494460117722e-136,7.93841310134659e-135,301.121446511419
PHGDH,0.335059325942205,8.23905187194045,22.6280855072449,4.26990999127363e-112,2.38010672444615e-110,244.637181261163
ID3,0.330250737353731,8.35278232267634,17.4232182050447,1.56855072905349e-67,4.20840208052276e-66,142.332568654978
SPINK5,-0.329197972064416,7.26208897359907,-25.7832032455564,1.93656065594605e-144,1.62620794822691e-142,318.94406272706
KRT19,-0.328850660066801,7.25219835230345,-20.9893120949883,7.36645227936122e-97,3.21834327286146e-95,209.645313757808
NSG1,0.328764719143617,7.77280240790047,23.9617241728456,2.7335927471801e-125,1.82220728899655e-123,274.944768199848
SLC25A5,0.327054329135487,9.42468941472323,23.2607172049103,2.89151690733541e-118,1.71527966264502e-116,258.808054112429
CIRBP,-0.324204970925,9.25634671528146,-24.3547202054221,2.58492415515163e-129,1.75938100918005e-127,284.190249719625
PERP,0.321124903238518,11.6729924629652,35.3030456775305,1.17441896174753e-265,2.44961064730952e-263,597.602877221778
EIF5A,0.3186797307689,8.61794636140312,21.9586028090456,9.61107015399262e-106,4.74390684089437e-104,230.047435184942
TUBB,-0.317581104681587,9.32959696006398,-22.0119381655579,3.04343694071603e-106,1.54951679202125e-104,231.19438370804
ADAMTS1,-0.315563995092749,7.60543237600545,-20.0511767387698,1.22854217303407e-88,4.75673873702892e-87,190.767893120959
ZFP36L2,-0.310530122597955,8.66983012832243,-18.732802437824,1.07464072595201e-77,3.45702832537596e-76,165.653134549653
GSTA4,0.304187396264928,7.77936659206666,22.5657927269296,1.69488653640282e-111,9.28740368167852e-110,243.261995808046
ASS1,-0.299827693726601,7.45635183609393,-23.6239492818978,7.01532002042699e-122,4.44716267177264e-120,267.112545553733
S100A11,0.299400925261867,9.97637209352396,24.3351942332933,4.11011996381661e-129,2.76833705062898e-127,283.72752171139
PTTG1,-0.29845846508914,7.44377178969377,-22.9828533053662,1.55128960373774e-115,9.03661133132275e-114,252.538055658434
