,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT14,-3.20998693168265,12.3666854818076,-152.06386671553,0.0,0.0,7882.99459508901
KRT15,-2.65648867344282,10.6773065651216,-128.367236836499,0.0,0.0,6134.12807862606
KRT1,2.61835952216185,11.0678415532686,152.343175151,0.0,0.0,7903.65711455721
KRT10,2.51477407482346,11.5202880128294,152.166301490013,0.0,0.0,7890.57523311634
KRT5,-2.33970368747383,10.8890439377144,-118.128525282726,0.0,0.0,5389.19826131719
S100A2,-2.1084215680882,9.41206178131132,-117.936517305933,0.0,0.0,5375.3940152686
DMKN,2.10409724766687,10.7514657916319,138.928181780694,0.0,0.0,6917.24011507854
DST,-1.95305102795664,9.48425653061682,-115.77753393538,0.0,0.0,5221.04790969307
KRTDAP,1.84723543684418,9.19597987417094,91.6245993774018,0.0,0.0,3544.23099729944
COL17A1,-1.38118620129811,8.37326923467203,-99.5364890703268,0.0,0.0,4084.96741919025
CXCL14,-1.37266934761257,10.2604292577589,-72.0241843486249,0.0,0.0,2318.78589932146
LYPD3,1.12011672816945,8.29959011526737,72.9032534484894,0.0,0.0,2372.74672069768
LY6D,1.11780393723867,10.5467236417344,62.9219229530119,0.0,0.0,1810.65941805458
CYR61,-1.01887770663049,8.54358687750957,-50.8830082958367,0.0,0.0,1214.61374414149
CCND1,0.99460106808976,8.107372722569,63.8006983041571,0.0,0.0,1858.61941619146
DCN,-0.992693484885274,8.47646080964937,-57.7112978013793,0.0,0.0,1541.26894550988
CAV1,-0.966840418346341,8.3474552777745,-63.1768999010716,0.0,0.0,1825.82189052233
LGALS7B,0.942596965414232,8.59775098410089,60.3173427041951,0.0,0.0,1675.21484507223
S100A6,-0.923898942491987,8.12813225952963,-51.7648956979352,0.0,0.0,1255.01225859274
RHOV,0.908201061274618,7.77069602717739,71.3514692214471,0.0,0.0,2282.1232919398
POSTN,-0.885095095758635,7.79530760466414,-59.4283834855859,0.0,0.0,1628.84943100685
DSP,0.85502699032146,10.6846697961096,65.9859784096278,0.0,0.0,1978.45747090545
IGF2,0.853500438197975,7.84893925593664,38.754220665562,7.616635e-318,6.3959947e-316,717.42726675379
SBSN,0.846318008105844,7.83472730299099,54.7323121923529,0.0,0.0,1395.10700972076
CALML5,0.840072411397518,8.19667246759667,51.6320989812091,0.0,0.0,1249.05525763836
CCL2,-0.828649116028386,7.72853797068524,-43.4088526711969,0.0,0.0,894.905073870523
LIMA1,-0.812817053748728,8.38918286906072,-55.1534142155479,0.0,0.0,1416.16863910748
IFITM3,-0.804677280531676,8.09459601317447,-53.563668693515,0.0,0.0,1339.93740859928
MT2A,-0.798847932844962,8.72650175276835,-42.4585347962609,0.0,0.0,857.277040700338
GSTA4,0.792354799463595,7.77936659206666,59.8565733389021,0.0,0.0,1651.41268409306
FABP7,0.786569361083101,8.77321737743987,38.7750210560935,3.579545e-318,3.0860452e-316,718.181709219058
DSG1,0.745805952544655,8.39045315477662,49.637125197913,0.0,0.0,1159.12148914256
PDLIM1,-0.739967161233334,8.32132646155372,-50.4620589928682,0.0,0.0,1196.20795143907
ITGB1,-0.726342064606256,7.93333879543539,-53.695163578218,0.0,0.0,1346.17795390563
PERP,0.70762430771275,11.6729924629652,79.2179701264604,0.0,0.0,2753.42816459476
DEFB1,0.699035214800693,7.65471973643169,54.9254136195401,0.0,0.0,1405.13115840697
FTH1,-0.687572691304814,10.527983318313,-52.1561600064652,0.0,0.0,1273.8825245042
AREG,-0.686813755145263,7.6026930178547,-40.6990693867841,0.0,0.0,789.483734970162
ATP1B3,-0.679751944470486,9.32987324446345,-50.0524598138073,0.0,0.0,1177.73276146537
DBI,0.674009216633458,8.99862860440584,46.0114331169121,0.0,0.0,1001.99865547052
LY6E,-0.651157079927054,7.90314177534996,-46.0657130258091,0.0,0.0,1004.27899939939
