,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT1,-2.50242688107275,11.0678415532686,-120.731859985412,0.0,0.0,5577.29323023288
KRT10,-2.49936226190429,11.5202880128294,-125.405183737591,0.0,0.0,5917.28204733721
KRT15,2.41767690552423,10.6773065651216,96.8748976534397,0.0,0.0,3896.13346449464
DMKN,-2.30225930420462,10.7514657916319,-126.050783870211,0.0,0.0,5968.89294159117
AREG,2.20178655897431,7.6026930178547,108.190089737234,0.0,0.0,4679.57300113802
DST,2.19750272994123,9.48425653061682,108.020677806389,0.0,0.0,4668.53271540155
KRT14,1.80162019710642,12.3666854818076,70.7705836850002,0.0,0.0,2246.16432845813
KRTDAP,-1.71368539099755,9.19597987417094,-70.4835390163027,0.0,0.0,2229.65362484939
ERRFI1,1.64337304109139,8.35939191499898,79.3383617273294,0.0,0.0,2757.47890941515
S100A2,1.64118112832195,9.41206178131132,76.1226911475879,0.0,0.0,2561.4948129154
CXCL14,1.61847248189439,10.2604292577589,70.4181324433949,0.0,0.0,2225.8973766632
SERPINB2,1.41653386907914,8.28481287419877,65.8134375070787,0.0,0.0,1967.14609520259
FOS,-1.37987700005757,11.3423844664726,-62.1157552115683,0.0,0.0,1767.89572335645
COL17A1,1.33832895358045,8.37326923467203,79.9760095535213,0.0,0.0,2800.29144451654
IER2,-1.31161324388196,10.3165492686058,-65.4739480362205,0.0,0.0,1948.55152887058
CCL2,1.25458384544237,7.72853797068524,54.4971884465238,0.0,0.0,1383.60320544935
LY6D,-1.25166589547618,10.5467236417344,-58.424034080082,0.0,0.0,1577.09376816656
JUN,-1.2182666894658,11.0167653192398,-55.6206158982798,0.0,0.0,1437.92903546305
CALML5,-1.18671600574122,8.19667246759667,-60.4806748573381,0.0,0.0,1682.64630553959
ANXA1,1.18199262449328,10.021676413026,61.3417572181611,0.0,0.0,1727.52948888357
LIMA1,1.13396198125101,8.38918286906072,63.8035523828197,0.0,0.0,1859.47419621538
FABP5,-1.12517978741157,9.87239850598036,-41.0022427055388,0.0,0.0,801.032929664226
SBSN,-1.09024892379642,7.83472730299099,-58.4659014927542,0.0,0.0,1579.49158606899
FTH1,1.06167667019647,10.527983318313,66.779941479617,0.0,0.0,2022.40012547217
