,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRTDAP,4.0750378347922,9.19597987417094,91.0512955842973,0.0,0.0,3505.89462624407
KRT14,-3.66038225110541,12.3666854818076,-78.1112977492685,0.0,0.0,2681.8814204995
KRT5,-3.37977779972032,10.8890439377144,-76.8682013070237,0.0,0.0,2606.3001763503
KRT15,-3.31640777447428,10.6773065651216,-72.1902916052039,0.0,0.0,2328.3010165145
CALML5,2.967654478711,8.19667246759667,82.1638990705761,0.0,0.0,2933.76747185001
SBSN,2.8590680186643,7.83472730299099,83.2912439421902,0.0,0.0,3004.9384516133
KRT1,2.81764664369091,11.0678415532686,73.8490477533018,0.0,0.0,2425.68315683023
KRT10,2.70841301086705,11.5202880128294,73.8242509257943,0.0,0.0,2424.21774657028
DST,-2.62182715214524,9.48425653061682,-70.0131162642399,0.0,0.0,2202.7834511295
DMKN,2.53754004319159,10.7514657916319,75.4748215900683,0.0,0.0,2523.29881741771
S100A2,-2.31808067082066,9.41206178131132,-58.4095743531143,0.0,0.0,1576.34148176565
CXCL14,-2.26287145965372,10.2604292577589,-53.4856089890436,0.0,0.0,1335.41783678425
FTH1,-2.12448074767754,10.527983318313,-72.5946200774736,0.0,0.0,2354.45791881955
TMEM45A,1.92955738317032,7.54610081797981,59.6311548711071,0.0,0.0,1638.66525768785
FABP7,1.74189292336701,8.77321737743987,38.6813051080501,1.07183886e-316,1.6501214415e-314,714.925644053468
CSTA,1.66092032782013,8.35283806609248,45.9863025989493,0.0,0.0,1000.69696086153
MT2A,-1.58011595603801,8.72650175276835,-37.8315811740349,1.8766598711789e-303,2.63793102761799e-301,684.464347378732
LYPD3,1.53534105573724,8.29959011526737,45.0145732505719,0.0,0.0,960.612845360523
SPRR1B,1.47723356958406,7.06840556728116,63.8547134846849,0.0,0.0,1860.54652253354
COL17A1,-1.46083288960257,8.37326923467203,-47.4236822712771,0.0,0.0,1062.12516782345
CAV1,-1.45611829979171,8.3474552777745,-42.8612488215235,0.0,0.0,873.619318551141
DBI,1.43674730821892,8.99862860440584,44.1819586096303,0.0,0.0,926.551414085636
DCN,-1.42664996709742,8.47646080964937,-37.3617961917898,3.023933165873e-296,3.91055037010696e-294,667.88720164272
CYR61,-1.40681757806326,8.54358687750957,-31.6485015996884,5.39732900783882e-215,4.41761131198554e-213,481.026106512463
GLTP,1.35336748220701,7.9562549820886,43.7918819780641,0.0,0.0,910.777048189121
ANXA1,-1.33554348943958,10.021676413026,-37.6528069451547,1.00921370713412e-300,1.35949496465192e-298,678.183618254507
FABP5,1.29834043144762,9.87239850598036,25.7023094757929,1.46925699017109e-143,7.78706204790677e-142,316.802060144917
S100A10,-1.28658587208169,9.5622691640566,-41.9978336911482,0.0,0.0,839.750705242334
LIMA1,-1.21655398864879,8.38918286906072,-37.1856715768527,1.18548130275967e-293,1.50300433404784e-291,661.922032108177
MT1X,-1.20717201963606,8.36935384852272,-27.1625821009476,7.92187635722906e-160,4.74285671535584e-158,354.193979290257
S100A6,-1.18905320912887,8.12813225952963,-30.0107472882223,5.89688692522136e-194,4.38267481131969e-192,432.652139733084
LGALS7B,1.17718093094443,8.59775098410089,33.9331384139738,4.21645458878043e-246,4.1943992878545e-244,552.55954342477
STMN1,-1.16001067356304,8.26508327483439,-30.3216649629776,7.15391823647431e-198,5.50681372821939e-196,441.65601543711
IGFBP5,-1.13652642139034,7.86042497005406,-28.2220830985756,3.72707888357496e-172,2.4342719253733e-170,382.531668199231
IFITM3,-1.08460385076023,8.09459601317447,-32.5225331321384,1.07664750778272e-226,9.53644217167544e-225,507.930118186098
ITGB1,-1.03487177241198,7.93333879543539,-34.4623716671819,1.42057848758192e-253,1.43522820323511e-251,569.744419431981
EDN1,-1.03200620484002,7.94290291796935,-25.1527718505751,1.17732168514911e-137,5.76709243649555e-136,303.233971566813
DSC1,1.01515295501521,7.07990741800198,52.9201110711698,0.0,0.0,1309.59915217574
PTRF,-0.994576826900425,8.22689699026512,-30.4985786970656,3.69356275043842e-200,2.87741888485962e-198,446.914336393432
FAM213A,-0.993371314416811,8.6502488187459,-28.5194025134345,9.99581813245277e-176,6.59520000453466e-174,390.741991396964
DSG1,0.987633123406406,8.39045315477662,29.6101815086547,5.26403257214971e-189,3.78191495683556e-187,421.269474550479
KRT6A,-0.978611429640348,7.70672966819333,-25.5938524345451,2.19667508674166e-142,1.15477244803834e-140,314.102371126818
CLDN4,0.973632682167208,7.66946381898908,25.4252011351373,1.4424992270253e-140,7.52193548544e-139,309.92570254402
LY6E,-0.970818269207218,7.90314177534996,-30.9381697805729,8.63983631680726e-206,6.8128270273751e-204,459.861532504963
SCEL,0.966089285775641,7.09445557618868,48.493510823846,0.0,0.0,1108.58955206936
POSTN,-0.948771559205842,7.79530760466414,-28.6965896518382,7.75671994397545e-178,5.17061352141703e-176,395.593174964574
CD24,0.939333407799252,7.00718983272188,56.8048654564965,0.0,0.0,1497.14147978567
ARL5A,0.938922263522707,7.62582803489999,32.4119932745725,3.32171861569299e-225,2.90246386068526e-223,504.505429942669
NAP1L1,-0.898228588796904,8.97360363988765,-28.7323453365746,2.77836067487284e-178,1.87134167955498e-176,396.618134524131
PERP,0.890052676743137,11.6729924629652,44.8850098328654,0.0,0.0,955.277681965592
KCNK7,0.887199806770083,7.37935251846563,36.9747199113467,1.88311613143962e-290,2.29740168035634e-288,654.55964815707
B2M,-0.874581098742777,11.8857144900269,-37.5271948826263,7.20488321837037e-299,9.50750507958832e-297,673.919774344608
TMEM40,0.869335881202555,7.23831931148177,38.900443093864,2.895e-320,4.56598e-318,723.133069224896
CTNNBIP1,0.867129743754814,7.96808378035684,27.3802488612646,2.3628916274687e-162,1.4278932021694e-160,359.998721988767
NPM1,-0.864447401117438,10.6153764953198,-40.184798079589,0.0,0.0,770.553805803021
GSTM3,-0.861603923232749,8.26185138917103,-25.1517742844458,1.15132141651464e-137,5.68278189250661e-136,303.256053351441
TKT,-0.852521210704761,8.25375274392116,-25.7415722328331,5.22665003222833e-144,2.79301810813127e-142,317.833479975236
HMGN2,-0.851451249744726,8.51245011799168,-24.8913279423555,6.57347817605947e-135,3.12530219752945e-133,296.921162415005
PRSS3,0.845023818360702,7.01644644777133,53.8387393442092,0.0,0.0,1353.03070306296
KLK11,0.844367635079088,8.28068774374196,25.2933587081387,3.55607793999703e-139,1.82488888571594e-137,306.726758833925
EPHB6,0.842377461833403,7.70429502777066,27.4831621857591,1.53491279041466e-163,9.45213914554402e-162,362.728093146095
ATP1B3,-0.839115581431171,9.32987324446345,-27.8330884484521,1.31159884793707e-167,8.39682985223872e-166,372.080007303998
PYCARD,0.833410865418118,8.054646605804,25.193840907375,4.10359954625527e-138,2.07295895828801e-136,304.285683716849
FTL,-0.832929002956016,10.3366229473548,-29.4328263320074,8.15945235919098e-187,5.79769439060757e-185,416.233661973593
ITGA6,-0.828529316859488,7.53585132910002,-28.7447244192195,1.97086330715054e-178,1.3414318046353e-176,396.960982610143
CASP14,0.827267308431747,7.08343232241298,43.459448595938,0.0,0.0,897.426584987496
AADACL2,0.82456090540446,7.03773609321401,50.5761405285045,0.0,0.0,1201.42827215388
CRABP2,0.816275314474854,7.91052705999204,23.2561007036687,3.30474649869974e-118,1.29506005215712e-116,258.545142049305
CCL2,-0.811862582988529,7.72853797068524,-19.1582046959944,3.80861211781409e-81,1.0434951675333e-79,173.427660505567
CYB5A,0.809113672098895,7.79229344991744,27.1544462623942,9.20626832185015e-160,5.46125972193423e-158,354.043741800615
AADAC,0.802576169116568,6.93634981172324,66.1096461883077,0.0,0.0,1983.87982206222
ITGA2,-0.801949140623309,7.69175671151204,-26.1783830366325,8.54619898510365e-149,4.76376919290347e-147,328.834361667205
GSTA4,0.797303709845989,7.77936659206666,27.1319238775243,1.66489232805952e-159,9.78653981202985e-158,353.452299930912
PPDPF,0.782938847907721,8.46557622318354,24.5728111813791,1.42074502120565e-131,6.46939246979981e-130,289.257985518542
SAT1,-0.77998650670114,8.0397390905967,-18.9309056988401,2.72407864506505e-79,7.18934388530228e-78,169.170841314399
PDLIM1,-0.773840235925931,8.32132646155372,-23.7721506898418,2.268955131767e-123,9.22708420251913e-122,270.408233390564
RAB25,0.771207973204488,7.63793978272018,26.6785734268029,2.28136461240704e-154,1.30542509591362e-152,341.644986693743
SYNE2,-0.767939317023813,8.95102229858658,-22.8904222226366,1.23530889997837e-114,4.78293853129351e-113,250.337055450074
GAPDH,-0.763023129263843,10.6076715187063,-29.9651150555492,2.00208372709788e-193,1.47107652038806e-191,431.431315943603
SOD1,-0.759708865917128,9.03692213005366,-25.7526185437375,3.96380762357342e-144,2.15377983983409e-142,318.109528647728
HOPX,-0.754925751347377,9.0341351461607,-21.9262053048578,1.93002538495099e-105,6.89477576745475e-104,229.217194666721
DEFB1,0.744503526503886,7.65471973643169,26.3515210265675,1.03201800114113e-150,5.8026333872857e-149,333.242920105627
HLA-B,-0.740149015058394,9.22238779756058,-21.9039135098005,3.1164307577686e-105,1.10718908130394e-103,228.739205059562
KRT2,0.736828716894979,6.95540516331936,44.2976088953093,0.0,0.0,930.83114374226
SULT1E1,-0.73665316202038,7.50983265128448,-24.5935686279809,8.74055475794821e-132,4.0082572386449e-130,289.74285530739
TUBA4A,0.736440850118928,8.30534023746681,21.3787295388431,2.17972512062852e-100,7.30264384973264e-99,217.611496966877
CALML3,0.735041934802424,7.67309797155586,22.0294586972784,2.13369529683619e-106,7.66470766074601e-105,231.414261527977
MUC15,0.73339587650075,7.34420773741906,28.7467782437144,1.86169319527298e-178,1.28060725538671e-176,397.017878094269
HNRNPA1,-0.724035956492122,10.7331120705334,-34.8085303554987,1.61741312315643e-258,1.71445791054581e-256,581.113825615413
CHP2,0.723927441560457,7.34812479515182,31.4725865675242,9.80990454595616e-213,7.92885534926907e-211,475.830287490363
CCL27,0.701379715436188,7.57893162738891,21.6006983735488,2.0587190899559e-102,7.11854419018975e-101,222.262182937592
CLDN1,0.698065284910002,7.35871351174027,27.4361330675358,5.36038515422496e-163,3.26983494407723e-161,361.479643779618
H2AFZ,-0.69756080619316,9.42241671165916,-19.7075260465256,1.01462526307465e-85,2.87744164519328e-84,183.92918775721
PTTG1,-0.697510974482397,7.44377178969377,-24.6387411418665,2.92136002685533e-132,1.34925099526047e-130,290.836524543914
SERPINB2,-0.697070743995766,8.28481287419877,-17.5939091400391,8.15316613267152e-69,1.95979078861911e-67,145.129113099823
SYT8,-0.692702748374905,7.78131220890426,-19.6650615123038,2.33617601144768e-85,6.56770177826986e-84,183.097705251525
NCOA7,-0.690480857469454,7.64962537392383,-21.3685561656802,2.73684036035969e-100,9.12186070622976e-99,217.3845571185
PKM,-0.68925264614985,8.51227617636916,-20.5014930852596,1.50824639658882e-92,4.53596334899689e-91,199.606500167346
ASS1,-0.68654128779696,7.45635183609393,-24.8138894788237,4.28810336036633e-134,2.00919393682092e-132,295.049483973843
EMP2,0.676014456863506,8.38224421484688,20.917324731514,3.16945167280186e-96,1.00459188805573e-94,208.051553899531
ATF3,-0.669322155815507,8.58038670471251,-16.5629329410554,3.04346134176605e-61,6.30737853713439e-60,127.759291278254
NCL,-0.668775358520678,9.87500568100521,-24.2437851062146,3.58668062312246e-128,1.55647496034294e-126,281.44013206896
IL1R2,-0.656325224306781,7.54545772605469,-22.2134528928143,3.85526439933769e-108,1.39263349754846e-106,235.41810043518
PARK7,-0.656245646261092,8.20440779100004,-20.7993151283474,3.56294136617556e-95,1.11294583930875e-93,205.638341395939
KRT18,-0.655678318327412,7.56829597100944,-20.631693976309,1.10009714163079e-93,3.40345842956205e-92,202.217644972646
MAL2,0.653222880868232,7.12584855151276,33.7341511301363,2.55644393863261e-243,2.50454037987855e-241,546.160156595611
SDCBP,-0.650796984261922,7.56783045331985,-22.6979289688336,9.06270294132073e-113,3.42686767360116e-111,246.051407935795
IER3,-0.650706166861644,9.27765332883494,-16.4142976984295,3.45553534015652e-60,7.00422931330786e-59,125.33943418565
RHOV,0.649961568594346,7.77069602717739,23.0024047201907,9.99194777510782e-116,3.89204423577392e-114,252.846102218447
RDH12,0.649561492024167,6.95402332748471,51.344331544625,0.0,0.0,1236.45506468714
TUBB,-0.646248191817213,9.32959696006398,-20.5470934385289,6.00688022452227e-93,1.82349706721883e-91,200.524623912528
SULT2B1,0.641852826681673,7.04240908360697,38.2784665866746,1.721053593996e-310,2.52916648608597e-308,700.651242198285
CAV2,-0.631579139783026,7.64415606573651,-21.5244015079333,1.0125644464766e-101,3.44591668995669e-100,220.673045423798
MT1E,-0.629231643512252,7.63894585568443,-19.0034359488954,6.99338091945209e-80,1.87631539523557e-78,170.526333810909
PVRL4,0.62908666162441,7.16385262065881,31.893785210803,2.76488201015565e-218,2.29201629200851e-216,488.592144569809
IFI16,-0.625094000676713,7.90523672165008,-20.0665250225888,8.90140052152003e-89,2.59263314288957e-87,190.947579193584
HNRNPA2B1,-0.623572313001208,9.56696405652449,-22.8714010025102,1.89138399624116e-114,7.23650231934635e-113,249.912031865262
EMP1,-0.620414617886047,9.27571137489119,-18.6013205488351,1.20248193141199e-76,3.11009926740396e-75,163.100050020679
TXNIP,-0.618608888796216,8.77416459291637,-15.7422524864133,1.56414470960577e-55,2.90625278514682e-54,114.663988163052
GPX1,-0.614432707504139,7.82719318252317,-20.0901892590563,5.57563680372123e-89,1.63873034422098e-87,191.414060192389
RBP1,0.612439700863838,7.04289007874656,35.060639426197,3.80650181146362e-262,4.17166791744471e-260,589.458302893463
CCND2,-0.612360693863693,7.57830898974632,-21.3990850430959,1.41955847386904e-100,4.78065890210272e-99,218.03925450633
HMGB1,-0.606053427291553,9.91860300803103,-24.2889784558089,1.23013682083824e-128,5.41092835614968e-127,282.508034688982
HMGB2,-0.602504889748059,8.18920523421886,-17.5260133934553,2.62750182826999e-68,6.13336708360785e-67,143.962992538267
ZFP36L2,-0.593699993098696,8.66983012832243,-16.4290892113538,2.70555833244778e-60,5.50130194264382e-59,125.583077077989
TUBA1B,-0.59331647738305,9.01247822106716,-15.262827101025,2.51315388141124e-52,4.36829381645298e-51,107.315015147417
PTMA,-0.586943630097247,12.2552011303739,-36.0880626568111,3.57173267784201e-277,4.19905881725935e-275,624.020376644178
HLA-A,-0.586370934598433,9.11451426669169,-17.443952168508,1.08466703916189e-67,2.49589219758746e-66,142.550251019908
IGFBP3,-0.584418635818714,7.30836701151019,-18.5528205984584,2.9694810738822e-76,7.58919550344754e-75,162.199092885994
CLSTN1,-0.581118417729435,7.72800896818309,-19.6128629999088,6.30694621518505e-85,1.76539888430245e-83,182.107356852213
DEK,-0.578789284618277,8.01960645777342,-17.3838237526006,3.05748506825462e-67,6.93673629871383e-66,141.51768821595
IRF1,-0.575002234596746,7.71635101021012,-16.8169289637439,4.55499867173825e-63,9.75252364617866e-62,131.944788961904
GNAS,-0.574285706864605,8.39152612765019,-16.5759844341789,2.43542102652106e-61,5.07981688951134e-60,127.981194340795
NUCKS1,-0.571493401448667,8.30577149035748,-17.5302915513841,2.43450202695189e-68,5.72417822046215e-67,144.038990817188
CLIP1,0.570167049921842,7.39572845277183,21.8312765960425,1.48021372410346e-104,5.20166409785487e-103,227.184925907022
ERRFI1,-0.569962315018473,8.35939191499898,-14.948275340095,2.82734555105175e-50,4.60494114183895e-49,102.614165728586
NFIB,-0.569066524925866,7.70519464945526,-18.5967804212308,1.30704770022164e-76,3.36707985244348e-75,163.016935834053
TMEM154,0.564827632592413,7.51556808571143,20.442441009935,4.95422092770191e-92,1.47622085338804e-90,198.420456154372
TACSTD2,0.556365046107347,9.85530883965911,13.8171221668793,3.0507563275539e-43,4.30702847466452e-42,86.5030137376062
SPARC,-0.555191724955685,7.39105247505712,-22.2633419804425,1.29954987475754e-108,4.72072443268666e-107,236.502941061869
ADRB2,-0.55491634842458,8.17641335538854,-14.7048151271744,1.02445395423357e-48,1.59233636251785e-47,99.0415699342839
LGALS3,0.549911884385732,9.18894264402626,17.9305385744771,2.17733689792945e-71,5.43577620927099e-70,151.033740131002
TSPO,0.54981358462658,9.41553583195311,19.8575965022181,5.40997353812322e-87,1.54782694236747e-85,186.852089349426
DSP,0.543960557829422,10.6846697961096,18.9105384128055,3.92342649406465e-79,1.03125511018789e-77,168.80702458368
PLIN2,-0.543251966655617,7.67553194368881,-15.504807941666,6.22480216983401e-54,1.12115796184253e-52,110.996428526237
CKS1B,-0.542090496475936,7.74565540675308,-17.4100545963851,1.94629313715199e-67,4.43124345944533e-66,141.967714105058
RND3,-0.538670157275514,8.43770124454736,-14.5288871263741,1.32231787314082e-47,2.01178996887731e-46,96.4964693897783
PSME1,-0.534964493612727,8.0922306876833,-16.3204300450629,1.57190696137953e-59,3.14673387377092e-58,123.830579396161
HLA-C,-0.533659570596592,8.47482545007198,-15.3062610445538,1.29191079120403e-52,2.26997151519707e-51,107.977309617377
PHLDA2,0.533298060688551,7.85301635034199,13.4186134379829,6.82262894719059e-41,9.190649744278e-40,81.1236300829
TP53AIP1,-0.53308006865065,7.43302692367995,-19.6681150654006,2.16471501668012e-85,6.11224772832038e-84,183.173582388146
FSCN1,-0.529695932618254,7.63491202013698,-17.1588261841767,1.43273375962812e-65,3.19450223784671e-64,137.684678967875
LY6G6C,0.529096197606735,6.96569512397934,39.0226657900331,3.36e-322,5.57e-320,727.588081371395
HMGN3,-0.527741906955851,8.23939991308063,-16.2240349077496,7.44947808296699e-59,1.47303747047292e-57,122.28109356378
SGK1,-0.52548843267254,7.81699932747642,-14.7555377025057,4.8717435316824e-49,7.64579943588796e-48,99.7812170650404
SDC1,0.523096888848293,7.58591280208076,18.0211760272987,4.34870089115216e-72,1.08987209155775e-70,152.639031213811
AREG,-0.522181361054448,7.6026930178547,-13.9389964514667,5.655959285628e-44,8.09102494267049e-43,88.1790609288038
NUPR1,0.52012167159381,8.72558975849753,14.9660055406977,2.15924278932916e-50,3.53459844957021e-49,102.882384384536
CCND1,0.519290994406792,8.107372722569,15.0055510643084,1.20103586399076e-50,1.98616314490134e-49,103.46620468025
LAMTOR4,0.516885349152984,8.15714424323471,16.2258905155206,7.23028216457551e-59,1.4340798919063e-57,122.310836582037
RP11-365O16-6,0.51681104373789,7.00469774714955,33.4317042724881,4.06338291950203e-239,3.86379911139708e-237,536.49860529103
HINT1,-0.516727226648541,9.94749366816632,-21.5842945117952,2.85169606971929e-102,9.80801424830049e-101,221.937032723596
ANP32B,-0.516616361799198,8.23765697382552,-16.1894601297179,1.29878954734115e-58,2.55257544471364e-57,121.727511698755
GJA1,0.51652876050637,7.91824282647256,15.8012874851381,6.16052914811101e-56,1.15127114080017e-54,115.591628388005
GPNMB,-0.515147129844475,9.01498513711809,-15.953096514866,5.63037296149785e-57,1.07710034227944e-55,117.973962611707
SLPI,0.513870761522163,7.10530977500187,23.3460002569189,4.25367577736271e-119,1.67708948636752e-117,260.590789997017
FBXW7,-0.511318889176751,7.86300346719574,-15.7448099664919,1.49185986264611e-55,2.77993252791635e-54,114.711012264757
LRMP,0.51045047880122,6.99840676712592,33.1319594716372,5.48164504000014e-235,5.06347383266299e-233,527.001005531326
CDKN2B,0.510394362985286,6.93222991428321,45.505462365069,0.0,0.0,980.942610225539
HSPD1,-0.509566614485136,8.59848551406313,-15.3511646367426,6.51453978639765e-53,1.14776605609938e-51,108.658849257467
EPHX3,0.509486146781929,6.94517393643592,42.6605118182559,0.0,0.0,865.692938953571
SNAI2,-0.507845965039561,7.57150325268167,-16.807627530291,5.27267369724234e-63,1.12518508667884e-61,131.798953037919
ATP1A1,-0.507576618327437,8.43345326171439,-15.3744826708509,4.56350655097385e-53,8.06219490672047e-52,109.013177738492
CSTB,0.507242795439549,8.08996440660738,15.21243942192,5.35602978440685e-52,9.11370752262493e-51,106.561739627901
ADH5,-0.505813579525704,7.47226099893767,-18.7072554495628,1.70885439521907e-77,4.45542440301876e-76,165.044936671426
SDR16C5,0.505557185905031,7.07658924953792,26.6795274576541,2.22571589291975e-154,1.28495347889456e-152,341.669638225432
DSG3,-0.504926259594889,7.5069861161759,-17.703166247245,1.19636194417219e-69,2.90814899662308e-68,147.041332697021
CLEC2A,0.504176768660813,6.95389227649725,38.4153863886863,1.41426820112e-312,2.12666469498975e-310,705.447858998761
DEGS1,0.502967153124075,9.32033231173395,16.6945968489312,3.44279915070534e-62,7.25118544249536e-61,129.929911036388
CAPNS2,0.502560287344114,7.88276125343442,15.3785740394372,4.28698327458389e-53,7.61528402567567e-52,109.075402295636
MYCBP2,0.5024084883126,7.80142980805991,16.3226960038376,1.51529272207289e-59,3.04282072699482e-58,123.867110936978
VMP1,-0.500742068649946,7.7048435711287,-15.5683735889606,2.32391697228436e-54,4.22091211876142e-53,111.977278555679
C6orf48,-0.500164625042028,8.00607213300094,-15.6096108020853,1.224088652006e-54,2.24856739314512e-53,112.615469441973
