,logFC,AveExpr,t,P.Value,adj.P.Val,B
TUBA1B,2.35792846314081,9.01247822106716,61.3545729007321,0.0,0.0,1727.84919070521
PTTG1,2.28184992168963,7.44377178969377,81.5309089999296,0.0,0.0,2897.38907312453
CENPF,2.2463378761013,7.02739046711899,128.228414786968,0.0,0.0,6139.90214808147
HMGB2,2.1412508390658,8.18920523421886,63.0025092680383,0.0,0.0,1816.1561559002
MKI67,2.03966540944902,6.96597825314145,154.051501437925,0.0,0.0,8056.03793069781
MT2A,2.03797088228489,8.72650175276835,49.3550102559727,0.0,0.0,1145.79495538424
STMN1,1.88989860954368,8.26508327483439,49.9686138721148,0.0,0.0,1173.19551676951
HMGN2,1.74134241352455,8.51245011799168,51.4920514992021,0.0,0.0,1243.07638771977
H2AFZ,1.70822534195261,9.42241671165916,48.8160838309965,0.0,0.0,1122.34222374195
TOP2A,1.64916377881705,6.98817936591835,110.082672579653,0.0,0.0,4823.72184772733
ASPM,1.62624638350234,6.94167022355009,136.426266410921,0.0,0.0,6741.21585469676
SMC4,1.6093018499211,7.37994149859941,61.7090384771371,0.0,0.0,1747.83191797307
HMGB1,1.46165162583316,9.91860300803103,59.2529462098248,0.0,0.0,1620.35223822171
NUSAP1,1.45835286754634,7.29764687365427,56.5842865572409,0.0,0.0,1486.09659761515
KRT5,1.39219225195111,10.8890439377144,32.0276828775318,5.19956767285333e-220,3.02886527681708e-218,492.193843293796
TPX2,1.34526320768365,6.99823823290531,91.3793692591662,0.0,0.0,3533.65505146882
CCNB1,1.33401274373936,6.99945506115754,85.5839082599747,0.0,0.0,3154.85319303944
KIAA0101,1.29572569334401,7.01774559344498,72.7288939821375,0.0,0.0,2361.00935140392
PRC1,1.29512681763083,7.14348964605653,63.186070040468,0.0,0.0,1826.25572058755
HIST1H4C,1.28427228009268,7.48572638466297,43.2112898065509,0.0,0.0,887.070186526043
UBE2C,1.22424281419288,6.93677851572478,98.1330348250295,0.0,0.0,3982.47999544696
MAD2L1,1.17724094310769,7.02226707095014,74.7657905872181,0.0,0.0,2483.10017904326
BIRC5,1.17048800158446,6.95173486775772,96.2726107773172,0.0,0.0,3862.15136509544
NUCKS1,1.13862424751941,8.30577149035748,35.3285720628085,4.99891198347572e-266,3.04933630992019e-264,598.046744936364
H2AFV,1.09888027858138,7.52341293062411,39.5059879815928,0.0,0.0,745.024870575923
CDKN3,1.085347144662,6.91260399207055,109.013500378112,0.0,0.0,4747.75461348929
TUBB4B,1.08071073115358,8.87301254601918,32.0179491011206,6.20571224093097e-220,3.58269065623747e-218,492.016792129113
NMU,1.06534804622355,7.39747391438144,43.6277537262876,0.0,0.0,903.918782172964
KRT14,1.06376166539485,12.3666854818076,22.9614592786188,2.59370670985037e-115,1.04167127862686e-113,251.464828883498
CENPW,1.05535125074439,7.09239937790267,56.3275624075143,0.0,0.0,1473.46221262088
CKS1B,1.04409783925848,7.74565540675308,33.9185496603326,6.75243664666494e-246,4.04270882938292e-244,551.738094364601
CDC20,1.04263646266766,6.9989881179217,68.306088223187,0.0,0.0,2107.84501723762
TK1,1.03777197344788,6.95636153571828,73.6257413505669,0.0,0.0,2412.77968206984
CCNB2,1.03546503035619,6.91715181706603,101.363554612505,0.0,0.0,4211.25934803987
TUBB,1.02820827839197,9.32959696006398,33.0673877887401,4.20929762304118e-234,2.49700169087929e-232,524.606836122686
PBK,1.02724039715599,6.89724979540447,128.067388741956,0.0,0.0,6128.05216311087
PTMS,1.02584911663956,7.78769207465215,32.4084387460393,3.7083113332736e-225,2.17981282554064e-223,504.031728175976
RAD21,1.02506029616769,7.50641038236831,37.3648721138499,2.19837921895707e-296,1.43583030603802e-294,667.885152687322
ANLN,1.02086588595943,6.9314579515484,91.4783425237197,0.0,0.0,3539.8537184868
KIF20B,1.01029346879773,7.14438708766825,48.1720591001065,0.0,0.0,1094.33641605901
